Name,Sex,Count,MaleCount,FemaleCount
Adriane,F,3302,8,3294
Adriann,F,38,0,38
Adrianna,F,42243,0,42243
Adrianne,F,9256,0,9256
Adriano,M,938,938,0
Adric,M,10,10,0
Adrick,M,5,5,0
Adrie,F,10,0,10
Adrieanna,F,5,0,5
Adriel,M,10365,10251,114
Adriella,F,5,0,5
Adrielle,F,156,0,156
Adrien,M,5181,5108,73
Adriene,F,729,0,729
Adrienna,F,27,0,27
Adrienne,F,62252,17,62235
Adrik,M,47,47,0
Adrin,M,5,5,0
Adrina,F,478,0,478
Adrion,M,5,5,0
Adrionna,F,116,0,116
Adron,M,67,67,0
Adryan,M,325,325,0
Adryana,F,46,0,46
Adryanna,F,46,0,46
Adryel,M,6,6,0
Advait,M,114,114,0
Advaith,M,190,190,0
Advay,M,74,74,0
Advik,M,345,345,0
Advika,F,127,0,127
Advit,M,18,18,0
Advith,M,17,17,0
Adwoa,F,5,0,5
Adya,F,27,0,27
Adyan,M,117,117,0
Adylene,F,75,0,75
Adyline,F,5,0,5
Adyn,M,419,419,0
Adysen,F,146,0,146
Adyson,F,2884,0,2884
Aedan,M,2168,2168,0
Aeden,M,286,286,0
Aedyn,M,51,51,0
Aeisha,F,13,0,13
Aela,F,25,0,25
Aella,F,9,0,9
Aeneas,M,33,33,0
Aerabella,F,18,0,18
Aerial,F,598,0,598
Aeriana,F,17,0,17
Aerianna,F,6,0,6
Aerick,M,5,5,0
Aeriel,F,75,0,75
Aerilyn,F,5,0,5
Aerin,F,79,0,79
Aeris,F,403,0,403
Aerith,F,21,0,21
Aero,M,35,35,0
Aeron,M,17,17,0
Aeryn,F,182,0,182
Aesha,F,44,0,44
Aeson,M,51,51,0
Aeva,F,62,0,62
Affan,M,59,59,0
Afia,F,81,0,81
Afiya,F,20,0,20
Afnan,F,11,5,6
Afomia,F,5,0,5
Afra,F,6,0,6
Afraz,M,6,6,0
Afreen,F,20,0,20
Africa,F,141,0,141
Afrika,F,7,0,7
Afsa,F,10,0,10
Afsana,F,33,0,33
Afsheen,F,8,0,8
Afshin,M,5,5,0
Afton,F,2359,33,2326
Aftyn,F,10,0,10
Afua,F,10,0,10
Agam,M,62,51,11
Agapita,F,117,0,117
Agapito,M,954,954,0
Agastya,M,178,178,0
Agata,F,16,0,16
Agatha,F,3373,0,3373
Ageliki,F,5,0,5
Agena,F,5,0,5
Aggie,F,133,0,133
Agim,M,5,5,0
Agnes,F,115035,0,115035
Agness,F,18,0,18
Agnew,M,5,5,0
Agnieszka,F,87,0,87
Agostino,M,64,64,0
Agripina,F,52,0,52
Agron,M,15,15,0
Agueda,F,41,0,41
Agustin,M,12022,12022,0
Agustina,F,678,0,678
Agustine,M,105,105,0
Ah,M,63,53,10
Ahaan,M,161,161,0
Ahaana,F,8,0,8
Ahad,M,81,81,0
Ahan,M,11,11,0
Ahana,F,264,0,264
Aharon,M,1207,1207,0
Ahava,F,5,0,5
Ahil,M,8,8,0
Ahkeem,M,13,13,0
Ahlaam,F,5,0,5
Ahlam,F,136,0,136
Ahlana,F,5,0,5
Ahlani,F,40,0,40
Ahliyah,F,5,0,5
Ahmad,M,14982,14982,0
Ahmadou,M,6,6,0
Ahmani,F,16,0,16
Ahmari,M,297,282,15
Ahmarion,M,5,5,0
Ahmaud,M,5,5,0
Ahmed,M,11712,11712,0
Ahmet,M,68,68,0
Ahmid,M,5,5,0
Ahmir,M,1359,1359,0
Ahmiyah,F,12,0,12
Ahmod,M,6,6,0
Ahmya,F,27,0,27
Ahna,F,55,0,55
Ahnaf,M,126,126,0
Ahniah,F,5,0,5
Ahniya,F,21,0,21
Ahniyah,F,5,0,5
Ahren,M,21,21,0
Ahri,F,28,0,28
Ahriana,F,5,0,5
Ahron,M,534,534,0
Ahsan,M,65,65,0
Ahsley,F,481,0,481
Ahtziri,F,599,0,599
Ahtziry,F,75,0,75
Ahuva,F,935,0,935
Ahyan,M,29,29,0
Ai,F,34,0,34
Aibhlinn,F,5,0,5
Aicha,F,314,0,314
Aida,F,9236,0,9236
Aidaly,F,5,0,5
Aidan,M,108580,107321,1259
Aidana,F,12,0,12
Aidden,M,33,33,0
Aide,F,1287,0,1287
Aidee,F,361,0,361
Aideen,M,5,5,0
Aidel,F,137,0,137
Aideliz,F,54,0,54
Aidelyn,F,5,0,5
Aiden,M,195317,194566,751
Aidenn,M,18,18,0
Aidin,M,102,102,0
Aidon,M,23,23,0
Aidric,M,52,52,0
Aidsa,F,9,0,9
Aidy,F,12,0,12
Aidyn,M,2659,2572,87
Aidynn,F,6,0,6
Aiesha,F,306,0,306
Aigner,F,130,0,130
Aijah,F,11,0,11
Aika,F,5,0,5
Aikeem,M,5,5,0
Aiken,M,5,5,0
Aiko,F,586,0,586
Aila,F,747,0,747
Ailah,F,5,0,5
Ailana,F,7,0,7
Ailani,F,1356,0,1356
Ailanie,F,10,0,10
Ailany,F,186,0,186
Ailea,F,14,0,14
Ailed,F,77,0,77
Ailee,F,67,0,67
Aileen,F,27960,0,27960
Aileene,F,5,0,5
Ailen,F,56,0,56
Ailene,F,411,0,411
Aileth,F,8,0,8
Ailey,F,134,0,134
Aili,F,226,0,226
Ailie,F,62,0,62
Ailin,F,407,0,407
Ailis,F,5,0,5
Ailish,F,78,0,78
Ailton,M,13,13,0
Aily,F,14,0,14
Ailyn,F,2366,0,2366
Ailynn,F,120,0,120
Aima,F,19,0,19
Aiman,F,10,5,5
Aimar,F,50,16,34
Aime,F,1004,156,848
Aimee,F,49645,0,49645
Aimie,F,17,0,17
Aimme,F,5,0,5
Aina,F,7,0,7
Ainara,F,134,0,134
Aine,F,425,0,425
Ainhoa,F,105,0,105
Aino,F,5,0,5
Ainslee,F,256,0,256
Ainsleigh,F,27,0,27
Ainsley,F,13758,23,13735
Ainslie,F,34,0,34
Aira,F,76,0,76
Airabella,F,16,0,16
Airam,F,486,15,471
Aireana,F,5,0,5
Aireanna,F,10,0,10
Airi,F,19,0,19
Airiana,F,58,0,58
Airianna,F,25,0,25
Airiel,F,5,0,5
Airlie,F,26,0,26
Airrion,M,5,5,0
Airyana,F,11,0,11
Aisa,F,6,0,6
Aisatou,F,10,0,10
Aisea,M,5,5,0
Aisha,F,19165,0,19165
Aishah,F,168,0,168
Aishani,F,82,0,82
Aishia,F,20,0,20
Aishwarya,F,237,0,237
Aisley,F,181,0,181
Aislin,F,252,0,252
Aisling,F,428,0,428
Aislinn,F,2006,0,2006
Aislyn,F,415,0,415
Aislynn,F,658,0,658
Aissa,F,142,0,142
Aissata,F,145,0,145
Aissatou,F,317,0,317
Aitan,M,5,5,0
Aitana,F,1242,0,1242
Aitanna,F,29,0,29
Aithan,M,17,17,0
Aithana,F,11,0,11
Aiva,F,94,0,94
Aivah,F,15,0,15
Aiven,M,24,24,0
Aivy,F,5,0,5
Aixa,F,355,0,355
Aiya,F,6,0,6
Aiyana,F,6587,0,6587
Aiyanah,F,24,0,24
Aiyanna,F,2621,0,2621
Aiyden,M,194,194,0
Aiyla,F,26,0,26
Aiysha,F,25,0,25
Aiza,F,551,0,551
Aizah,F,181,0,181
Aizen,M,262,262,0
Aizik,M,21,21,0
Aizlynn,F,12,0,12
Aizza,F,5,0,5
Aj,M,493,493,0
Aja,F,5704,0,5704
Ajah,F,342,0,342
Ajahni,M,5,5,0
Ajai,M,6,6,0
Ajanae,F,189,0,189
Ajane,F,5,0,5
Ajanee,F,8,0,8
Ajani,M,816,806,10
Ajay,M,2073,2073,0
Ajayla,F,10,0,10
Ajaysia,F,10,0,10
Ajdin,M,21,21,0
Ajee,F,194,0,194
Ajeet,M,6,6,0
Ajena,F,5,0,5
Ajia,F,49,0,49
Ajit,M,12,12,0
Ajla,F,138,0,138
Ajooni,F,16,0,16
Ajwa,F,5,0,5
Akaash,M,6,6,0
Akai,M,65,65,0
Akane,F,21,0,21
Akanksha,F,7,0,7
Akansha,F,5,0,5
Akari,F,80,5,75
Akash,M,1059,1059,0
Akasha,F,247,0,247
Akayla,F,391,0,391
Akaylah,F,5,0,5
Akaysha,F,5,0,5
Akbar,M,24,24,0
Akeel,M,5,5,0
Akeela,F,8,0,8
Akeelah,F,855,0,855
Akeem,M,4502,4502,0
Akeema,F,6,0,6
Akeen,M,10,10,0
Akeiba,F,26,0,26
Akeisha,F,5,0,5
Akela,F,22,0,22
Akemi,F,210,0,210
Akeria,F,27,0,27
Akhil,M,767,767,0
Akhila,F,5,0,5
Akia,F,272,0,272
Akiba,F,7,0,7
Akie,F,5,0,5
Akiem,M,5,5,0
Akiko,F,243,0,243
Akil,M,608,608,0
Akila,F,37,0,37
Akilah,F,1264,0,1264
Akili,M,48,48,0
Akim,M,92,92,0
Akin,M,16,16,0
Akina,F,31,0,31
Aking,M,10,10,0
Akio,M,39,39,0
Akira,F,5263,780,4483
Akirah,F,21,0,21
Akisha,F,23,0,23
Akiva,M,1256,1256,0
Akiyah,F,5,0,5
Akoni,M,19,19,0
Akosua,F,9,0,9
Akram,M,186,186,0
Aksel,M,616,616,0
Akshaj,M,172,172,0
Akshar,M,45,45,0
Akshara,F,751,0,751
Akshat,M,54,54,0
Akshath,M,11,11,0
Akshay,M,738,738,0
Akshaya,F,79,0,79
Akshita,F,41,0,41
Akua,F,65,0,65
Akul,M,12,12,0
Akyra,F,38,0,38
Al,M,11634,11629,5
Alaa,F,363,28,335
Alabama,F,23,0,23
Alacia,F,23,0,23
Aladdin,M,5,5,0
Alaena,F,5,0,5
Alahia,F,23,0,23
Alahna,F,130,0,130
Alahni,F,26,0,26
Alaia,F,1345,0,1345
Alaiah,F,29,0,29
Alaija,F,5,0,5
Alaijah,F,49,0,49
Alaila,F,5,0,5
Alain,M,2123,2123,0
Alaina,F,36769,0,36769
Alainah,F,29,0,29
Alaine,F,42,0,42
Alainna,F,11,0,11
Alaisha,F,37,0,37
Alaiya,F,100,0,100
Alaiyah,F,238,0,238
Alaiza,F,16,0,16
Alajah,F,80,0,80
Alakai,M,73,73,0
Alam,M,15,15,0
Alamar,F,5,0,5
Alan,M,344485,344431,54
Alana,F,52290,6,52284
Alanah,F,2047,0,2047
Alanda,F,6,0,6
Alandra,F,66,0,66
Alandria,F,20,0,20
Alane,F,403,0,403
Alani,F,5873,0,5873
Alania,F,28,0,28
Alanie,F,175,0,175
Alanis,F,1602,0,1602
Alanmichael,M,11,11,0
Alanna,F,18139,0,18139
Alannah,F,4202,0,4202
Alanni,F,56,0,56
Alannis,F,5,0,5
Alante,M,112,107,5
Alany,F,120,0,120
Alanys,F,33,0,33
Alanzo,M,42,42,0
Alara,F,83,0,83
Alaric,M,625,625,0
Alasdair,M,13,13,0
Alasia,F,541,0,541
Alaska,F,69,0,69
Alassane,M,5,5,0
Alastair,M,67,67,0
Alauna,F,48,0,48
Alaura,F,278,0,278
Alaya,F,3613,0,3613
Alayah,F,4461,0,4461
Alaycia,F,14,0,14
Alayia,F,10,0,10
Alayiah,F,37,0,37
Alayja,F,28,0,28
Alayjah,F,101,0,101
Alayla,F,412,0,412
Alaylah,F,5,0,5
Alayna,F,24511,0,24511
Alaynah,F,161,0,161
Alayne,F,77,0,77
Alaynna,F,74,0,74
Alaysha,F,513,0,513
Alayshia,F,35,0,35
Alaysia,F,3372,0,3372
Alayssa,F,13,0,13
Alayza,F,43,0,43
Alayzia,F,5,0,5
Alazae,F,118,0,118
Alazay,F,109,0,109
Alazne,F,16,0,16
Alba,F,3361,0,3361
Alban,M,59,59,0
Albana,F,11,0,11
Albany,F,27,0,27
Albaro,M,225,225,0
Albeiro,M,10,10,0
Alben,M,22,22,0
Albena,F,10,0,10
Alberdia,F,5,0,5
Albert,M,442841,442611,230
Alberta,F,58116,5,58111
Albertha,F,3279,0,3279
Albertia,F,10,0,10
Albertina,F,161,0,161
Albertine,F,396,0,396
Alberto,M,56513,56444,69
Albertus,M,32,32,0
Albesa,F,5,0,5
Albi,M,6,6,0
Albie,F,10,5,5
Albieri,M,5,5,0
Albiery,M,5,5,0
Albin,M,1789,1789,0
Albina,F,2402,0,2402
Albino,M,684,684,0
Albion,M,34,34,0
Albirda,F,5,0,5
Albirta,F,17,0,17
Alcario,M,16,16,0
Alcee,M,105,105,0
Alcide,M,385,385,0
Alcides,M,56,56,0
Alcie,F,10,0,10
Alcuin,M,27,27,0
Alda,F,1561,0,1561
Aldah,F,5,0,5
Aldahir,M,30,30,0
Aldair,M,676,676,0
Aldea,F,23,0,23
Aldean,U,17,12,5
Alden,M,8522,8479,43
Aldena,F,6,0,6
Aldene,F,6,0,6
Alder,M,135,135,0
Alderic,M,6,6,0
Aldin,M,81,81,0
Aldina,F,48,0,48
Aldine,F,118,11,107
Aldo,M,12892,12892,0
Aldon,M,37,37,0
Aldona,F,489,0,489
Aldonia,F,18,0,18
Aldor,M,5,5,0
Aldric,M,5,5,0
Aldrich,M,23,23,0
Aldrin,M,96,96,0
Alea,F,1412,0,1412
Aleah,F,11273,0,11273
Aleaha,F,28,0,28
Alean,F,138,0,138
Aleana,F,88,0,88
Aleanna,F,5,0,5
Alease,F,845,0,845
Aleasha,F,57,0,57
Alec,M,47845,47828,17
Alecia,F,8218,0,8218
Aleck,M,76,76,0
Alecsander,M,20,20,0
Alecxis,M,6,6,0
Aleczander,M,199,199,0
Aleda,F,10,0,10
Aleea,F,16,0,16
Aleeah,F,612,0,612
Aleece,F,23,0,23
Aleecia,F,25,0,25
Aleem,M,67,67,0
Aleemah,F,6,0,6
Aleen,F,403,0,403
Aleena,F,7306,0,7306
Aleenah,F,120,0,120
Aleene,F,94,0,94
Aleesa,F,56,0,56
Aleesha,F,415,0,415
Aleeya,F,223,0,223
Aleeyah,F,341,0,341
Aleeza,F,467,0,467
Alegandra,F,47,0,47
Alegandro,M,144,144,0
Alegra,F,28,0,28
Alegria,F,14,0,14
Aleia,F,211,0,211
Aleiah,F,44,0,44
Aleida,F,739,0,739
Aleigh,F,15,0,15
Aleigha,F,2691,0,2691
Aleina,F,136,0,136
Aleisha,F,807,0,807
Aleister,M,22,22,0
Aleiya,F,5,0,5
Aleiyah,F,44,0,44
Aleiza,F,12,0,12
Aleja,F,5,0,5
Alejah,F,5,0,5
Alejando,M,5,5,0
Alejandr,M,6,6,0
Alejandra,F,48280,280,48000
Alejandrina,F,669,0,669
Alejandro,M,129663,129181,482
Alejo,M,187,187,0
Alejos,M,69,69,0
Alek,M,1993,1993,0
Alekhya,F,10,0,10
Aleks,M,63,63,0
Aleksa,F,54,0,54
Aleksandar,M,337,337,0
Aleksander,M,1743,1743,0
Aleksandr,M,368,368,0
Aleksandra,F,1465,0,1465
Aleksei,M,30,30,0
Aleksey,M,64,64,0
Aleksia,F,5,0,5
Alekxander,M,5,5,0
Alekzander,M,270,270,0
Aleli,F,11,0,11
Alen,M,593,593,0
Alena,F,9330,0,9330
Alene,F,4972,0,4972
Alenna,F,55,0,55
Alesa,F,17,0,17
Alesana,F,18,0,18
Alesandra,F,184,0,184
Alesandro,M,34,34,0
Alese,F,6,0,6
Alesha,F,4889,5,4884
Aleshia,F,1001,0,1001
Alesia,F,4447,0,4447
Alessa,F,920,0,920
Alessand,M,5,5,0
Alessandra,F,16327,0,16327
